name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
The Dress Looks Nice on You,Sufjan Stevens,0.696,0.269,5,-16.422,0,0.0329,0.951,0.0262,0.11,0.781,127.798,152480,4
Bonatology,Richard Bona,0.333,0.0462,8,-21.849,0,0.0657,0.984,0.0,0.133,0.428,90.046,102040,4
Sugar Man,Rodríguez,0.479,0.591,5,-6.541,1,0.0416,0.746,0.0,0.634,0.477,98.121,227893,4
"Que No Sea Kang, Por Favor",Los Planetas,0.435,0.494,2,-9.032,1,0.0279,0.000228,0.854,0.16,0.228,93.997,283587,4
Sunset,The xx,0.835,0.182,2,-15.876,1,0.0762,0.557,0.456,0.113,0.369,119.98,218587,4
Alfonsina Y El Mar,Mercedes Sosa,0.514,0.124,10,-14.035,0,0.0391,0.964,6.02e-05,0.0862,0.227,132.935,278053,3
Someone Else's Song,Wilco,0.366,0.256,9,-14.513,1,0.0346,0.788,0.447,0.104,0.386,162.971,201480,3
It's Only Me,Elvis Perkins,0.416,0.293,0,-9.945,1,0.0273,0.518,0.0,0.0867,0.166,141.587,238840,3
L'ocell,Joan Colomo,0.68,0.546,0,-8.521,0,0.0284,0.768,0.00438,0.136,0.352,123.029,111080,3
Koop Island Blues,Koop,0.555,0.537,10,-9.041,0,0.0314,0.731,0.0524,0.287,0.521,79.239,276360,4
Tell Me Now So I Know,Holly Golightly,0.523,0.173,9,-13.081,0,0.0424,0.9,0.0345,0.1,0.197,134.167,248065,3
Zamba del carnaval,Lorena Astudillo & Daniel Maza,0.627,0.374,9,-9.307,0,0.0344,0.879,1.54e-06,0.121,0.597,144.972,326972,4
Mort d'un heroi romàntic,Manel,0.65,0.535,4,-5.536,1,0.0323,0.911,0.0,0.12,0.723,114.871,121307,4
The Blizzard's Never Seen the Desert Sands,The Tallest Man On Earth,0.499,0.373,5,-7.742,0,0.0312,0.858,0.0,0.147,0.39,138.71,237213,4
De Mi Esperanza,Jorge Cafrune,0.476,0.124,5,-15.788,1,0.0341,0.853,3.73e-05,0.121,0.204,83.757,199693,4
Assist,Vic Chesnutt,0.614,0.205,6,-12.576,0,0.0627,0.726,5.25e-05,0.732,0.34,129.763,285027,4
Zamba Del Carnaval,Pedro Aznar,0.311,0.228,2,-16.376,0,0.0376,0.91,0.0511,0.106,0.227,71.142,188267,4
Black Mountain,Isobel Campbell,0.698,0.198,3,-18.153,1,0.0685,0.472,0.672,0.115,0.593,126.352,171613,4
Deus Ibi Est,Isobel Campbell,0.52,0.14,3,-19.627,1,0.0554,0.825,0.878,0.0766,0.15,91.277,299453,3
Zamba del Carnaval,Hernán Ríos,0.629,0.482,0,-8.965,1,0.0253,0.828,0.000476,0.127,0.662,109.956,179218,4
Ja era fort,Manel,0.477,0.284,10,-8.791,1,0.0431,0.934,1.68e-06,0.118,0.376,100.423,225920,4
Little River,The Tallest Man On Earth,0.338,0.232,0,-15.194,1,0.0274,0.891,0.75,0.108,0.123,82.949,358680,4
La Gent Així,Nico Roig,0.499,0.184,7,-14.257,1,0.0578,0.927,0.00776,0.0681,0.234,96.726,155365,4
Les Dones Macabres,Nico Roig,0.52,0.843,6,-4.157,1,0.0352,0.0784,0.0254,0.174,0.63,133.016,159932,4
Dualize,L.A.,0.475,0.328,6,-15.263,0,0.0307,0.778,0.0085,0.0729,0.678,112.117,200667,4
California Dreamin' - Remastered,Bobby Womack,0.719,0.461,11,-11.338,0,0.037,0.0298,0.801,0.0634,0.104,110.991,367307,4
A New Error,Moderat,0.542,0.73,11,-9.695,0,0.0409,0.044,0.0,0.0549,0.509,111.567,234093,4
Across 110th Street - Original,Bobby Womack,0.696,0.648,1,-8.381,0,0.0419,0.594,0.832,0.284,0.561,104.015,507813,4
Cafe de flore,Doctor Rockit,0.651,0.497,7,-13.551,1,0.0547,0.776,0.0137,0.13,0.502,87.723,229480,4
House Of The Rising Sun,The Be Good Tanyas,0.482,0.198,2,-15.643,0,0.048,0.585,0.0888,0.121,0.313,120.834,197147,4
Todo es Mentira,Albert Pla & Pascal Comelade,0.906,0.45,0,-8.003,1,0.0627,0.149,0.000232,0.168,0.969,103.476,172600,4
A Message to You Rudy - 2002 Remastered Version,The Specials,0.423,0.266,4,-12.976,0,0.0583,0.735,1.13e-05,0.149,0.42,92.25,274045,4
